,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Temp in Imperial
77,Koumac,0,NC,1556929493,59,-20.56,164.28,298.802,4.42,78.17360000000008
78,Thompson,90,CA,1556928000,79,55.74,-97.86,273.15,3.1,32.0
79,Sitka,39,US,1556928964,80,37.17,-99.65,289.26,2.24,60.998000000000026
80,Castro,90,CL,1556924400,100,-42.48,-73.76,285.15,2.6,53.6
81,Nanortalik,86,GL,1556929494,63,60.14,-45.24,278.102,1.56,40.913599999999995
82,Caravelas,42,BR,1556929494,85,-17.73,-39.27,298.812,2.28,78.19160000000007
83,Lom Sak,0,TH,1556924400,83,16.78,101.24,300.15,0.83,80.6
84,Mecca,0,SA,1556929237,30,21.43,39.83,304.692,1.67,88.77560000000005
85,Altayskoye,0,RU,1556929495,57,51.95,85.34,275.612,0.89,36.43160000000008
86,Borba,0,PT,1556929495,48,38.81,-7.46,287.102,2.99,57.1136
87,Dudinka,0,RU,1556926200,71,69.41,86.18,260.15,2.0,8.600000000000001
88,Sao Gabriel da Cachoeira,99,BR,1556929495,82,-0.13,-67.09,299.282,1.07,79.03760000000001
89,Qaanaaq,99,GL,1556929495,87,77.48,-69.36,269.052,1.44,24.623600000000078
90,Marti,40,CU,1556927460,88,21.15,-77.45,299.15,4.6,78.8
91,Severnoye,100,RU,1556929496,88,54.09,52.54,285.082,8.16,53.47760000000003
92,Procida,75,IT,1556929471,87,40.76,14.01,289.15,2.04,60.8
93,Praia da Vitoria,40,PT,1556928928,88,38.73,-27.07,290.15,3.73,62.6
94,Padang,100,ID,1556929497,81,-0.92,100.36,301.332,2.54,82.72760000000002
95,Saldanha,16,PT,1556929497,62,41.42,-6.55,284.192,3.16,51.875600000000055
96,Vaini,100,IN,1556929497,84,15.34,74.49,295.752,1.76,72.68360000000006
97,Dongsheng,98,CN,1556929497,47,29.72,112.52,296.002,0.84,73.13360000000006
98,Cabo San Lucas,75,MX,1556929227,41,22.89,-109.91,302.04,2.1,84.00200000000008
99,Shubarshi,100,KZ,1556929498,33,48.59,57.19,285.422,11.39,54.08960000000009
100,Kirakira,43,SB,1556929498,71,-10.46,161.92,302.422,2.87,84.68960000000008
101,Tuatapere,99,NZ,1556929207,61,-46.13,167.69,291.48,5.36,64.99400000000007
102,Northam,0,GB,1556929382,93,51.04,-4.21,280.93,2.6,46.004000000000055
103,Kojnare,75,BG,1556928001,87,43.35,24.13,287.15,2.1,57.2
104,Turinsk,100,RU,1556929499,80,58.04,63.7,280.382,3.76,45.01760000000005
105,Nyrob,73,RU,1556929499,92,60.74,56.73,283.172,4.38,50.039600000000085
106,Dikson,11,RU,1556929499,93,73.51,80.55,259.242,2.58,6.965600000000073
107,Nikolskoye,75,RU,1556929355,64,59.7,30.79,275.93,4.0,37.004000000000055
108,Praia,40,BR,1556924400,73,-20.25,-43.81,297.15,2.1,75.2
109,Gat,75,SN,1556928000,88,14.69,-16.54,292.15,5.7,66.2
110,Tiksi,13,RU,1556929500,81,71.64,128.87,262.512,8.59,12.85160000000004
111,Ostrovnoy,100,RU,1556929500,97,68.05,39.51,271.422,6.15,28.889600000000087
112,Aleksandrov Gay,74,RU,1556929500,83,50.14,48.57,283.752,4.21,51.08360000000006
113,Dali,79,CN,1556929501,85,25.6,100.24,288.032,1.47,58.78760000000001
114,Avarua,100,CK,1556928000,78,-21.21,-159.78,300.15,8.7,80.6
115,Nome,75,US,1556929493,78,30.04,-94.42,298.15,2.1,77.0
116,Forbes,0,AU,1556929501,52,-33.38,148.01,288.352,3.88,59.3636
117,Beipiao,67,CN,1556929502,23,41.8,120.76,294.282,5.63,70.03760000000001
118,Maryborough,100,AU,1556929402,91,-25.54,152.7,294.662,2.43,70.7216
119,Coquimbo,90,CL,1556929018,87,-29.95,-71.34,293.71,1.5,69.00800000000001
120,San Patricio,20,PY,1556929502,90,-26.98,-56.83,296.862,1.59,74.68160000000009
121,Port Blair,100,IN,1556929297,75,11.67,92.75,302.932,5.0,85.60760000000008
122,Araceli,30,PH,1556929503,65,10.55,119.99,302.882,0.34,85.51760000000004
123,Hermanus,64,ZA,1556929004,72,-34.42,19.24,287.04,0.89,57.00200000000008
124,Rosarito,40,CO,1556928000,69,4.91,-75.23,298.15,1.0,77.0
125,Bluff,100,AU,1556929503,76,-23.58,149.07,294.842,2.4,71.04560000000001
126,Christchurch,41,NZ,1556929209,77,-43.53,172.64,293.71,5.1,69.00800000000001
127,Shenjiamen,100,CN,1556929504,64,29.96,122.3,290.652,0.88,63.50360000000002
128,Trincomalee,100,LK,1556929504,75,8.58,81.23,300.392,3.98,81.03560000000003
129,Birao,76,CF,1556929504,31,10.3,22.78,303.992,0.77,87.51560000000008
130,Pevek,0,RU,1556929504,80,69.7,170.27,272.082,0.57,30.07760000000003
131,Fort Nelson,90,CA,1556928120,68,58.81,-122.69,271.15,1.5,28.4
132,Lavrentiya,100,RU,1556929505,95,65.58,-170.99,270.992,2.27,28.115600000000075
133,Ngaoundere,100,CM,1556929505,76,7.32,13.58,295.682,2.0,72.55760000000006
134,Talnakh,0,RU,1556926200,71,69.49,88.39,260.15,2.0,8.600000000000001
135,Tasiilaq,62,GL,1556929505,86,65.61,-37.64,267.662,1.43,22.1216
136,Port Elizabeth,1,US,1556929505,82,39.31,-74.98,292.15,4.1,66.2
137,Itarema,52,BR,1556929506,85,-2.92,-39.92,299.062,3.26,78.64160000000007
138,Roald,100,NO,1556929503,86,62.58,6.12,277.15,4.6,39.2
139,Portland,75,US,1556929472,45,45.52,-122.67,294.26,4.1,69.99800000000002
140,Conceicao do Araguaia,43,BR,1556929462,81,-8.26,-49.26,298.532,0.82,77.6876
141,Beaupre,90,CA,1556929504,100,47.04,-70.9,281.15,1.5,46.4
142,Saquena,71,PE,1556929507,89,-4.67,-73.52,297.992,0.66,76.71560000000008
143,Raudeberg,47,NO,1556929503,72,61.99,5.14,275.15,3.1,35.6
144,Omboue,100,GA,1556929382,85,-1.57,9.26,300.922,4.21,81.98960000000008
145,Haimen,100,CN,1556929363,48,31.87,121.18,294.82,2.97,71.00600000000003
146,Snina,71,SK,1556925599,99,48.99,22.16,278.71,1.34,42.008
147,Greystones,20,IE,1556929370,69,53.14,-6.06,277.59,4.6,39.992
148,Egvekinot,100,RU,1556929508,82,66.32,-179.17,270.682,6.19,27.557600000000072
149,Minuri,37,PH,1556929508,79,16.54,121.86,299.242,0.57,78.96560000000008
150,Narsaq,100,GL,1556929509,48,60.91,-46.05,281.482,2.99,46.99760000000009
151,Coihaique,0,CL,1556924400,86,-45.58,-72.07,277.15,1.26,39.2
152,Faya,40,SA,1556928000,35,18.39,42.45,294.15,2.1,69.8
153,Lodwar,72,KE,1556929509,44,3.12,35.6,304.142,5.28,87.78560000000003
154,Cidreira,97,BR,1556929510,90,-30.17,-50.22,295.902,2.21,72.95360000000002
155,Vanimo,100,PG,1556929510,80,-2.67,141.3,300.622,4.0,81.44960000000006
156,Deputatskiy,5,RU,1556929510,89,69.3,139.9,269.882,2.83,26.11760000000005
157,Sakaiminato,75,JP,1556929396,72,35.55,133.23,289.82,2.6,62.00600000000003
158,Kalaleh,0,IR,1556928000,72,37.38,55.49,292.15,3.1,66.2
159,Kaitangata,100,NZ,1556929511,68,-46.28,169.85,288.182,2.59,59.05760000000007
160,Iqaluit,20,CA,1556929365,85,63.75,-68.52,266.15,7.2,19.4
161,San Cristobal,75,EC,1556928910,71,-0.39,-78.55,293.15,6.2,68.0
162,Guanica,75,PR,1556929256,83,17.97,-66.91,299.82,7.7,80.00600000000003
163,Mahebourg,75,MU,1556929440,83,-20.41,57.7,296.48,6.7,73.99400000000007
164,Flinders,25,AU,1556929507,55,-34.58,150.85,292.04,6.7,66.00200000000008
165,Georgetown,40,GY,1556924400,88,6.8,-58.16,299.15,4.1,78.8
166,Cabedelo,20,BR,1556924400,88,-6.97,-34.84,298.15,2.1,77.0
167,Provideniya,100,RU,1556929513,97,64.42,-173.23,272.592,1.02,30.995600000000014
168,Biak,100,ID,1556929237,96,-0.91,122.88,293.722,0.05,69.0296
169,Nambucca Heads,100,AU,1556929505,88,-30.64,152.99,293.15,2.1,68.0
170,Mizdah,97,LY,1556929514,31,31.45,12.98,298.092,11.43,76.89560000000002
171,Airai,78,TL,1556929514,67,-8.93,125.41,300.522,1.4,81.26960000000003
172,Laguna,75,MX,1556927220,11,27.52,-110.01,305.15,5.1,89.6
173,Matara,15,PE,1556929514,80,-13.74,-72.9,277.132,2.19,39.16760000000005
174,Akcakoca,13,TR,1556929515,65,41.09,31.12,283.712,2.72,51.01160000000002
175,Sambava,14,MG,1556929515,99,-14.27,50.17,292.842,1.65,67.44560000000001
176,Batemans Bay,0,AU,1556929474,49,-35.71,150.18,294.82,0.45,71.00600000000003
177,Redlands,5,US,1556929507,28,34.06,-117.19,301.15,3.6,82.4
178,Monywa,67,MM,1556929516,45,22.12,95.13,305.552,2.83,90.32360000000008
179,Beloha,0,MG,1556929516,63,-25.17,45.06,295.182,2.26,71.65760000000007
180,Manzil Salim,75,TN,1556928000,93,35.86,8.48,286.15,3.59,55.4
181,Leesburg,1,US,1556929361,83,39.12,-77.56,297.15,3.6,75.2
182,Guerrero Negro,17,MX,1556929517,83,27.97,-114.04,289.782,5.65,61.93760000000001
183,Yellowknife,20,CA,1556929368,54,62.45,-114.38,273.15,3.6,32.0
184,Young,11,UY,1556929494,84,-32.7,-57.63,293.71,2.86,69.00800000000001
185,Mednogorsk,100,RU,1556929517,42,51.41,57.59,282.302,4.09,48.473600000000076
186,Tilichiki,31,RU,1556929517,57,60.47,166.1,276.982,4.98,38.89760000000009
187,Yatou,100,CM,1556929518,79,3.63,9.81,302.212,4.19,84.31160000000003
188,Tazovskiy,69,RU,1556929498,95,67.47,78.7,264.482,3.22,16.39760000000009
189,Pangnirtung,89,CA,1556929518,76,66.15,-65.72,270.672,1.51,27.539600000000085
190,Los Llanos de Aridane,90,ES,1556928986,68,28.66,-17.92,291.15,4.6,64.4
191,Belaya Gora,100,RU,1556929518,97,68.54,146.19,272.992,0.89,31.715600000000073
192,Naze,75,NG,1556928000,94,5.43,7.07,297.15,1.5,75.2
193,Wad Rawah,0,SD,1556929519,4,15.16,33.13,309.142,6.13,96.78560000000003
194,Valparaiso,90,US,1556929257,87,41.47,-87.06,283.15,3.6,50.0
195,Camopi,100,GF,1556929519,99,3.17,-52.33,296.242,1.08,73.56560000000007
196,Diego de Almagro,0,CL,1556929519,80,-26.39,-70.05,288.822,0.75,60.209600000000044
197,East London,99,ZA,1556929432,72,-33.02,27.91,288.412,4.43,59.4716
198,Coruripe,0,BR,1556929520,91,-10.12,-36.18,295.242,2.26,71.76560000000008
199,Aklavik,20,CA,1556928000,50,68.22,-135.01,272.15,4.6,30.2
200,Ponta do Sol,100,BR,1556929520,93,-20.63,-46.0,292.532,1.09,66.8876
201,Apt,0,FR,1556929216,58,43.88,5.4,287.59,7.2,57.992
202,Fereydun Kenar,46,IR,1556929521,62,36.69,52.52,295.282,4.75,71.83760000000001
203,Geraldton,75,CA,1556928000,49,49.72,-86.95,281.15,2.1,46.4
204,Edd,9,ER,1556929521,17,13.93,41.69,307.552,4.05,93.92360000000008
205,San Blas,75,MX,1556927400,53,21.54,-105.29,298.15,4.6,77.0
206,Peyima,100,SL,1556929522,99,8.69,-11.04,296.682,0.87,74.35760000000008
207,Aksarka,100,RU,1556929522,100,66.56,67.8,274.302,3.15,34.07360000000008
208,North Bend,1,US,1556929226,71,43.41,-124.22,287.59,12.3,57.992
209,Sao Filipe,4,CV,1556929522,79,14.9,-24.5,295.542,6.98,72.3056
210,Impfondo,47,CD,1556929522,78,1.62,18.06,298.032,0.99,76.78760000000001
211,Bilibino,19,RU,1556929523,85,68.06,166.44,270.422,1.08,27.089600000000086
212,Joigny,0,FR,1556929500,93,47.98,3.4,282.04,1.5,48.00200000000008
213,Honiara,40,SB,1556924400,83,-9.43,159.96,302.15,3.1,84.2
214,Villanueva de Cordoba,0,ES,1556928000,87,38.32,-4.63,289.15,3.1,60.8
215,Marsaxlokk,75,MT,1556929248,87,35.84,14.54,288.15,9.8,59.0
216,Bontang,7,ID,1556929524,79,0.12,117.47,300.362,0.72,80.98160000000009
217,Alofi,90,NU,1556928000,83,-19.06,-169.92,299.15,5.7,78.8
218,Yerbogachen,81,RU,1556929524,87,61.28,108.01,275.572,5.41,36.35960000000004
219,Ancud,90,CL,1556924400,100,-41.87,-73.83,285.15,2.6,53.6
220,General Roca,0,AR,1556924400,62,-39.03,-67.58,288.15,3.1,59.0
221,Yinchuan,0,CN,1556929525,49,38.48,106.21,290.422,0.18,63.08960000000009
222,Ballangen,99,NO,1556929292,92,68.34,16.83,274.26,6.7,33.998000000000026
223,Bowen,6,AU,1556929424,78,-20.01,148.25,300.37,3.1,80.99600000000005
224,Aswan,0,EG,1556929333,19,24.09,32.9,299.712,7.55,79.81160000000003
225,Namatanai,98,PG,1556929525,89,-3.66,152.44,298.482,5.21,77.59760000000009
226,Brae,81,GB,1556927400,75,60.4,-1.35,278.15,11.8,41.0
227,Souillac,0,FR,1556929449,87,45.6,-0.6,282.59,1.5,48.992
228,Cap Malheureux,75,MU,1556929440,83,-19.98,57.61,296.48,6.7,73.99400000000007
229,Ixtapa,75,MX,1556929505,74,20.71,-105.21,299.26,5.1,78.99800000000002
230,Svetlogorsk,85,RU,1556926200,36,53.14,59.15,282.15,7.0,48.2
231,Yaan,100,NG,1556929527,87,7.38,8.57,299.432,4.56,79.30760000000006
232,Copacabana,90,CO,1556929152,54,6.35,-75.51,299.15,6.2,78.8
233,Kawalu,32,ID,1556929527,92,-7.38,108.21,295.482,1.18,72.1976000000001
234,Usinsk,95,RU,1556929528,98,66.0,57.56,276.632,7.02,38.26760000000005
235,Lata,0,IN,1556929528,56,30.78,78.62,266.442,5.33,19.925600000000053
236,Wyndham,27,GB,1556929518,87,51.61,-3.54,282.59,3.1,48.992
237,Sabha,100,LY,1556929528,13,27.03,14.43,304.872,11.48,89.09960000000007
238,Ketchikan,90,US,1556927760,93,55.34,-131.65,284.15,4.1,51.8
239,Inhambane,0,MZ,1556929529,95,-23.87,35.38,290.972,2.36,64.0796
240,Martapura,8,ID,1556926200,100,-3.41,114.85,299.15,1.0,78.8
241,Hofn,0,IS,1556929529,53,64.25,-15.21,268.122,3.35,22.949600000000068
242,Tautira,75,PF,1556929386,65,-17.73,-149.15,301.15,3.6,82.4
243,Chiltepec,90,MX,1556929530,81,18.48,-96.9,292.552,2.66,66.92360000000008
244,Labuhan,6,ID,1556929530,74,-2.54,115.51,300.662,0.34,81.5216
245,Tabou,100,CI,1556929530,95,4.42,-7.36,297.732,1.27,76.24760000000009
246,Hilo,90,US,1556929528,65,19.71,-155.08,299.26,6.2,78.99800000000002
247,Arlit,13,NE,1556929531,7,18.74,7.39,302.602,2.2,85.0136
248,Sorland,100,NO,1556929531,70,67.67,12.69,276.272,9.1,37.61960000000003
249,Tayu,0,JP,1556929445,63,35.06,136.67,300.93,2.1,82.00400000000005
250,Chuy,14,UY,1556929531,81,-33.69,-53.46,292.312,2.45,66.49160000000006
251,Nantucket,90,US,1556929514,100,41.28,-70.1,284.26,6.2,51.998000000000026
252,Warsaw,0,PL,1556929509,74,52.23,21.01,279.82,2.1,44.00600000000003
253,Derzhavinsk,1,KZ,1556929532,45,51.1,66.31,279.512,4.95,43.45160000000004
254,Touros,0,BR,1556924400,88,-5.2,-35.46,298.15,1.5,77.0
255,Nanyamba,68,MZ,1556929533,98,-10.69,39.81,293.482,2.43,68.59760000000009
256,Colares,0,PT,1556929517,77,38.8,-9.45,288.15,4.6,59.0
257,Belyy Yar,0,RU,1556926200,68,53.6,91.39,270.15,1.08,26.6
258,Vestmannaeyjar,33,IS,1556929533,65,63.44,-20.27,278.122,3.06,40.94960000000007
259,Mar del Plata,100,AR,1556929386,54,-46.43,-67.52,278.382,6.02,41.41760000000005
260,Fayaoue,2,NC,1556929534,70,-20.65,166.53,298.032,9.72,76.78760000000001
261,Abha,40,SA,1556928000,35,18.22,42.5,294.15,2.1,69.8
262,West Des Moines,1,US,1556929304,54,41.56,-93.76,289.26,2.6,60.998000000000026
263,Bagotville,40,AU,1556929522,83,-28.98,153.42,296.15,2.1,73.4
264,Russell,0,AR,1556928000,68,-33.01,-68.8,292.15,1.5,66.2
265,Bilma,1,NE,1556929535,9,18.69,12.92,301.002,1.53,82.13360000000006
266,Balakhta,0,RU,1556929535,47,55.38,91.62,277.022,1.34,38.96960000000003
267,Kadyy,27,RU,1556929263,87,57.79,43.19,279.532,3.11,43.48760000000001
268,Katsuura,20,JP,1556928000,63,33.93,134.5,294.15,5.1,69.8
269,Rocha,11,UY,1556929536,94,-34.48,-54.34,287.102,1.53,57.1136
270,Fasa,0,IR,1556928000,35,28.94,53.65,286.15,1.18,55.4
271,Sunrise Manor,20,US,1556929499,8,36.21,-115.07,304.15,1.0,87.8
272,Puerto El Triunfo,20,SV,1556927400,79,13.27,-88.55,303.15,3.1,86.0
273,Dzialdowo,0,PL,1556928000,93,53.24,20.17,276.15,2.1,37.4
274,Vardo,90,US,1556929279,88,39.62,-77.74,294.82,4.1,71.00600000000003
275,Suez,13,EG,1556929537,57,29.97,32.54,290.802,4.19,63.77360000000008
276,Kloulklubed,75,PW,1556927400,74,7.04,134.26,302.15,3.6,84.2
277,Jiazi,75,CN,1556924400,100,19.61,110.49,298.15,3.0,77.0
278,Arona,75,IT,1556929493,100,45.76,8.56,285.93,1.5,55.004000000000055
279,Ciudad Bolivar,79,VE,1556929537,45,8.12,-63.55,305.002,4.06,89.33360000000006
280,Calabozo,98,VE,1556929537,36,8.92,-67.43,307.162,3.49,93.2216
281,Bonthe,94,SL,1556929538,84,7.53,-12.5,300.922,3.72,81.98960000000008
282,Veraval,33,FR,1556929448,93,49.65,0.71,283.15,2.6,50.0
283,Nouadhibou,0,MR,1556928000,82,20.93,-17.03,291.15,6.7,64.4
284,Posse,100,BR,1556929538,85,-14.08,-46.36,295.922,1.57,72.98960000000008
285,Ilulissat,55,GL,1556927400,39,69.22,-51.1,282.15,9.8,48.2
286,Bull Savanna,87,JM,1556929539,75,17.89,-77.59,301.572,6.58,83.15960000000004
287,Mbanza-Ngungu,100,CD,1556929539,95,-5.25,14.87,296.152,0.65,73.40360000000001
288,Faanui,84,PF,1556929539,72,-16.48,-151.75,301.002,6.38,82.13360000000006
289,Mocuba,0,MZ,1556929539,98,-16.84,36.99,291.172,1.29,64.43960000000008
290,Pisco,1,PE,1556929039,30,-13.71,-76.2,295.15,3.6,71.6
291,Coahuayana,24,MX,1556929540,10,18.62,-100.35,312.042,2.59,102.00559999999999
292,Meadow Lake,75,CA,1556928000,55,54.13,-108.44,276.15,10.8,37.4
293,Viedma,58,AR,1556929540,60,-40.81,-62.99,282.482,1.74,48.79760000000009
294,Mattru,100,SL,1556929540,92,7.62,-11.83,299.062,1.27,78.64160000000007
295,Grindavik,75,IS,1556928277,86,63.84,-22.43,278.71,1.5,42.008
296,Hannibal,90,US,1556929289,87,39.71,-91.36,286.15,1.5,55.4
297,Imbituba,0,BR,1556928000,88,-28.24,-48.67,298.15,4.1,77.0
298,Tigre,0,AR,1556929500,63,-34.42,-58.58,294.82,1.94,71.00600000000003
299,Jutai,46,BR,1556929541,99,-1.71,-47.89,296.912,1.19,74.7716
300,Oranjemund,0,ZA,1556929542,81,-28.55,16.43,288.282,11.44,59.23760000000001
301,Dwarka,40,IN,1556927107,57,28.58,77.04,305.93,2.1,91.00400000000005
302,Mitu,100,IR,1556929542,53,36.2,46.09,284.582,2.25,52.57760000000003
303,Peace River,90,CA,1556928000,22,56.23,-117.29,275.15,3.6,35.6
304,Road Town,1,VG,1556929414,65,18.42,-64.62,299.26,5.1,78.99800000000002
305,Sur,0,OM,1556929543,28,22.57,59.53,301.862,3.21,83.68160000000009
306,Magistralnyy,66,RU,1556929543,44,56.17,107.45,274.172,3.56,33.83960000000009
307,Belyy,8,RU,1556929543,79,55.83,32.94,273.732,1.31,33.04760000000009
308,Susehri,95,TR,1556929543,97,40.16,38.09,275.002,1.38,35.33360000000006
309,Taoudenni,32,ML,1556929544,11,22.68,-3.98,302.992,4.32,85.71560000000008
310,Artesia,1,US,1556929521,14,32.84,-104.4,303.15,2.6,86.0
311,Kavieng,100,PG,1556929544,83,-2.57,150.8,300.722,7.96,81.62960000000001
312,Luderitz,0,NA,1556924400,87,-26.65,15.16,288.15,4.6,59.0
313,Ellisras,0,ZA,1556929545,38,-23.67,27.74,287.922,1.89,58.58960000000009
314,Auki,100,NG,1556929545,54,12.18,6.51,303.402,3.36,86.45360000000002
315,Geretsried,55,DE,1556929496,100,47.86,11.48,281.15,2.1,46.4
316,Bouillon,67,FR,1556929505,93,49.8,5.07,280.93,5.1,46.004000000000055
317,Hambantota,100,LK,1556929358,79,6.12,81.12,302.222,8.3,84.3296
318,Saskylakh,12,RU,1556929546,93,71.97,114.09,260.132,2.66,8.567600000000049
